						
						
						
						
						
						
V-it	N-ka		spojka			
V-at	N-átko		sedátko			
V-ovat	N-ovátko		ukazovátko			
V-it	N-ítko		tlačítko			
V-at	N-ák		zobák			
V-et	N-ák		bzučák			
V-it	N-ák		sušák			
N-	N-ník		závitník, nárazník			
vykřiknout	vykřičník					
vyhloubit	výhlubník					
V-it	N-ivo		učivo, léčivo			
stlát	stelivo					
oběhnout	oběživo					
V-it	N-ík		budík			
V-nout	N-lo		bodlo, táhlo, sedlo			
N-	N-nice		nábojnice			
N-ce	N-tivum		sedativum, deminutivum			
V-it	N-ek		posudek			
V-at	N-ek		výdělek			
V-ovat	N-ek		výlisek			
V-it	N-ka		vývěska			
V-at	N-ka		vynechávka, sbírka			
V-et	N-ka		navážka			
V-ět	N-ina		vidina			
V-it	N-ina		zplodina			
V-ovat	N-ina		hoblina, pilina			
vydout	vydutina					
rýt	rytina					
N-ace	N-át		predikát, falzifikát			
V-et	N-ení		sázení			
V-ět	N-ění		trpění			
V-at	N-ání		volání			
V-ovat	N-ování		kupování			
V-tit	N-cení		nucení			
V-tit	N-tění		šlechtění, přemístění			
V-stit	N-štění		maštění, huštění			
V-stit	N-stění		čistění			
V-dit	N-zení		chlazení, hlazení			
V-zdit	N-zdění		jezdění			
V-zdit	N-ždění		ježdění, zpoždění			
V-sit	N-šení		kříšení, nošení			
V-zit	N-žení		vožení, kažení			
V-zit	N-zení		hrození			
V-nout	N-nutí		hnutí, vyšinutí			
V-éct	N-ečení		oblečení, pečení			
V-chnout	N-šení		nadšení			
V-hnout	N-žení		utržen, tažení			
V-sknout	N-štění		tištění			
V-nout	N-nutí		pnutí, projmutí			
zajmout	zajetí					
napnout	napětí					
stít	stětí					
počít	početí					
žnout	žnutí					
žít	žnutí					
V-át	N-ání		lání, vání			
V-át	N-aní		psaní, zvaní			
V-ět	N-ění		spění, čpění			
V-ít	N-ití		bití, hnití			
V-ít	N-ění		dění, bdění			
V-ít	N-ení		clení, mžení			
V-řít	N-ření		dření, pření			
V-ýt	N-ytí		bytí, mytí, vytí			
říct	rčení				???INFINITIV NA -CI vs. -CT???	
V-ást	N-adení		kladení, kradení			
V-ást	N-atení		matení			
V-ést	N-esení		nesení			
V-ést	N-etení		metení			
V-ézt	N-ezení		lezení			
V-at	N-		překlad, náklad, úhyb, západ			
V-it	N-		úklon, průstřel			
V-et	N-		zvuk			
V-ět	N-		výlet			
V-at	N-ot		hvízdot			
V-ít	N-ot		hřmot			
V-it	N-ot		šustot			
V-et	N-ka		otáčka			
V-it	N-ka		otočka			
V-at	N-ka		vykládka			
V-ít	N-ivka		zálivka, výšivka			
V-at	N-avka		škytavka, ukolébavka			
V-t	N-čka		lítačka, tancovačka, honička			
V-át	N-ačka		rvačka, sračka			
V-ít	N-itka		bitka, pitka			
V-it	N-a		záliba, příhoda, úcta			
V-at	N-a		přísaha, zácpa, hra			
V-it	N-ba		léčba, prosba			
V-at	N-ba		skladba, vazba			
kreslit	kresba					
V-it	N-itba		modlitba, ženitba			
V-at	N-aná		schovávaná			
V-it	N-ená		dovolená			
V-at	N-anice		hádanice			
V-át	N-anice		pranice, žranice			
V-it	N-enice		chumelenice			
V-ít	N-enice		třenice			
V-it	N-ice		veselice, metelice			
vonět	vůně					
chodit	chůze					
zářit	záře					
koupit	koupě					
lhát	lež					
moct	moc					
pomoct	pomoc					
říct	řeč					
vyztužit	výztuž					
žít	žatva					
bít	bitva					
pást	pastva					
přást	přástva					
V-ýt	N-yt		odbyt, zákryt			
strádat	strast					
V-dět	N-st		nenávist, závist			
usmát	úsměv					
